ELEM_KOD;TELEP_NEV;JARAS_NEV;MEGYE_NEV;REGIO_NEV;NAGYREGIO_NEV;VALUE;
1316;Röszke;Szegedi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;33;
1055;Monor;Monori;Pest;Pest;Közép-Magyarország;28;
1152;Balaton;Bélapátfalvai;Heves;Észak-Magyarország;Alföld és Észak;25;
1165;Bögöt;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;32;
1171;Báta;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;31;
1179;Szank;Kiskunmajsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;41;
1183;Pocsaj;Derecskei;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;23;
1193;Üröm;Pilisvörösvári;Pest;Pest;Közép-Magyarország;63;
1205;Budakeszi;Budakeszi;Pest;Pest;Közép-Magyarország;54;
2956;Telekes;Vasvári;Vas;Nyugat-Dunántúl;Dunántúl;26;
2957;Kesztölc;Esztergomi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;33;
2962;Vértestolna;Tatai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;34;
2966;Alsónána;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;27;
2968;Zalatárnok;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;32;
2969;Sorokpolány;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;33;
0424;Nagykamarás;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;32;
0399;Héhalom;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;25;
0418;Perőcsény;Szobi;Pest;Pest;Közép-Magyarország;38;
0441;Nyésta;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;8;
0433;Mátraszőlős;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;24;
0508;Lovászpatona;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;34;
0391;Csákánydoroszló;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;30;
0782;Monok;Szerencsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;20;
0799;Lövőpetri;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;27;
0835;Harkakötöny;Kiskunhalasi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;29;
0817;Felsőberecki;Sátoraljaújhelyi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;26;
1250;Kisnána;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;30;
0332;Ipolytarnóc;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;21;
3342;Egervár;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;32;
2825;Mogyorósbánya;Esztergomi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;29;
