ELEM_KOD;TELEP_NEV;JARAS_NEV;MEGYE_NEV;REGIO_NEV;NAGYREGIO_NEV;VALUE;
1526;Kéked;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;647;
3223;Kakucs;Dabasi;Pest;Pest;Közép-Magyarország;349;
3369;Kisfalud;Kapuvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;430;
1092;Maglód;Vecsési;Pest;Pest;Közép-Magyarország;362;
1659;Oroszi;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;699;
1852;Eperjeske;Záhonyi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;329;
2626;Valkonya;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;754;
2636;Nyírmihálydi;Nyírbátori;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;298;
2647;Csátalja;Bajai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;489;
2652;Nóráp;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;521;
2668;Kecskemét;Kecskeméti;Bács-Kiskun;Dél-Alföld;Alföld és Észak;476;
1755;Mezőfalva;Dunaújvárosi;Fejér;Közép-Dunántúl;Dunántúl;395;
1545;Regöly;Tamási;Tolna;Dél-Dunántúl;Dunántúl;503;
1667;Töltéstava;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;280;
3230;Nógrádkövesd;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;443;
3233;Baté;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;396;
0300;Szombathely;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;461;
0301;Szebény;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;719;
1264;Óbánya;Pécsváradi;Baranya;Dél-Dunántúl;Dunántúl;568;
0765;Nemeshetés;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;696;
1338;Domaszék;Szegedi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;407;
1528;Vértessomló;Tatabányai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;402;
1721;Porcsalma;Csengeri;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;368;
1723;Nagymágocs;Szentesi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;435;
1912;Gyöngyössolymos;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;460;
1319;Győrladamér;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;338;
1514;Vámosújfalu;Sárospataki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;472;
3173;Nagymaros;Szobi;Pest;Pest;Közép-Magyarország;403;
2753;Somogysimonyi;Marcali;Somogy;Dél-Dunántúl;Dunántúl;582;
2758;Nemti;Bátonyterenyei;Nógrád;Észak-Magyarország;Alföld és Észak;571;
2810;Nádudvar;Hajdúszoboszlói;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;442;
2816;Lovászi;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;488;
2821;Litka;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1840;
3137;Pusztacsalád;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;458;
3436;Rákóczibánya;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;439;
0798;Bucsuta;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;553;
0836;Vöckönd;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;456;
0857;Kétújfalu;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;379;
0923;Nyírgyulaj;Nyírbátori;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;392;
3439;Monorierdő;Monori;Pest;Pest;Közép-Magyarország;364;
1557;Nagykörű;Szolnoki;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;571;
1855;Olasz;Bólyi;Baranya;Dél-Dunántúl;Dunántúl;403;
1930;Győrsövényház;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;380;
1522;Győrzámoly;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;333;
1707;Jánd;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;389;
1714;Kenderes;Karcagi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;481;
1909;Szentpéterszeg;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;435;
2093;Szakonyfalu;Szentgotthárdi;Vas;Nyugat-Dunántúl;Dunántúl;380;
2287;Böde;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;460;
1586;Szentlőrinc;Szentlőrinci;Baranya;Dél-Dunántúl;Dunántúl;422;
1972;Versend;Bólyi;Baranya;Dél-Dunántúl;Dunántúl;325;
0152;Somoskőújfalu;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;519;
0207;Dunaremete;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;445;
2905;Tornyosnémeti;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;475;
3100;Bózsva;Sátoraljaújhelyi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;680;
0440;Bekölce;Bélapátfalvai;Heves;Észak-Magyarország;Alföld és Észak;588;
0441;Nyésta;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;814;
0443;Udvar;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;691;
3367;Mosonszentmiklós;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;387;
3372;Verőce;Szobi;Pest;Pest;Közép-Magyarország;342;
1184;Kétbodony;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;515;
1564;Tiszacsege;Balmazújvárosi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;466;
1757;Lesencefalu;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;548;
3119;Lövő;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;393;
3156;Mónosbél;Bélapátfalvai;Heves;Észak-Magyarország;Alföld és Észak;351;
3181;Dánszentmiklós;Ceglédi;Pest;Pest;Közép-Magyarország;398;
3134;Mosdós;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;375;
3155;Nemesmedves;Szentgotthárdi;Vas;Nyugat-Dunántúl;Dunántúl;519;
3166;Mezőtárkány;Füzesabonyi;Heves;Észak-Magyarország;Alföld és Észak;449;
3186;Tiszavárkony;Szolnoki;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;475;
3203;Keléd;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;464;
2794;Halmaj;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;334;
1311;Boldogasszonyfa;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;595;
0951;Gádoros;Orosházi;Békés;Dél-Alföld;Alföld és Észak;554;
